,company_name_final,company_type_final,company_headquarter_location_final,company_age_final,Number_of_Employees_final
691,  Seniority  ,"  Pune,Maharashtra + 1 more  ",  6 years old  ,  51-200 Employees (India)  , nan 
692,  ConvertCart  ,  51-200 Employees (India)  , nan , nan , nan 
693,  LockTheDeal  ,"  Gurgaon,Haryana + 2 more  ",  6 years old  ,  51-200 Employees (India)  , nan 
694,  TenderCuts  ,"  Chennai,Tamil Nadu + 1 more  ",  6 years old  ,  201-500 Employees (India)  , nan 
695,  Magic Crate  ,  Private  ,"  Bangalore,Karnataka + 1 more  ",  8 years old  ,  51-200 Employees (India)  
696,  BuildNext  ,  Private  ,"  Ernakulam,Kerala + 4 more  ",  7 years old  ,  51-200 Employees (Global)  
697,  Bijak  ,"  Gurgaon,Haryana + 2 more  ",  3 years old  ,  51-200 Employees (India)  , nan 
698,  Inzpira  ,  Private  ,"  Thiruvananthapuram,Kerala  ",  1 years old  ,  11-50 Employees (India)  
699,  Tekie  ,"  Gurgaon,Haryana  ",  5 years old  , nan , nan 
700,  Cityfurnish  ,  Private  ,"  Gurgaon,Haryana + 2 more  ",  7 years old  ,  11-50 Employees (India)  
701,  KritiLabs Techno...  ,"  Chennai,Tamil Nadu + 1 more  ",  10 years old  ,  501-1k Employees (India)  , nan 
702,  CredRight  ,"  Bangalore,Karnataka + 6 more  ",  6 years old  ,  51-200 Employees (India)  , nan 
703,  Pixis  ,"  Burlingame,California  ",  4 years old  ,  11-50 Employees (India)  , nan 
704,  Vegrow  ,  Private  ,"  Hyderabad,Telangana + 5 more  ",  2 years old  ,  11-50 Employees (India)  
705,  LogiNext Solutio...  ,  Private  ,"  Fremont,California + 2 more  ",  8 years old  ,  51-200 Employees (India)  
706,  GUVI  ,  Private  ,"  Chennai,Tamil Nadu + 3 more  ",  8 years old  ,  51-200 Employees (India)  
707,  Crown It  ,  Private  ,"  Gurgaon,Haryana  ",  8 years old  ,  51-200 Employees (India)  
708,  Paynear Solution...  ,"  Hyderabad,Telangana + 3 more  ",  9 years old  , nan , nan 
709,  VVIP  ,  Private  ,  Ghaziabad + 3 more  ,  201-500 Employees (Global)  , nan 
710,  CloudThat  ,  Tampa  ,  201-500 Employees (India)  , nan , nan 
711,  Eduonix Learning...  ,  Private  ,"  Navi Mumbai,Maharashtra + 1 more  ",  9 years old  ,  11-50 Employees (Global)  
712,  SWIFT  ,  Private  ,"  Bangalore,Karnataka + 10 more  ",  4 years old  ,  11-50 Employees (India)  
713,  HiveMinds Innova...  ,  Private  ,  Bangalore + 1 more  ,  51-200 Employees (India)  , nan 
714,  Fastenal  ,  Private  ,"  Winona,Minnesota  ",  9 years old  ,  201-500 Employees (India)  
715,  BookingJini  ,"  Bhubaneswar,Odisha + 2 more  ",  7 years old  ,  11-50 Employees (India)  , nan 
716,  Rubanbridge  ,  Private  ,  Bangalore + 8 more  ,  6 years old  ,  201-500 Employees (India)  
717,  Swajal Water  ,  Private  ,"  Gurgaon,Haryana + 1 more  ",  8 years old  ,  11-50 Employees (India)  
718,  Square Panda Ind...  ,  Private  ,"  Sunnyvale,California  ",  8 years old  ,  51-200 Employees (India)  
719,  StayVista  ,  Mumbai + 2 more  ,  7 years old  ,  201-500 Employees (India)  , nan 
720,  Ability Games  ,  Private  ,"  Kolkata,West Bengal  ",  5 years old  ,  51-200 Employees (India)  
721,  Sirena Technolog...  ,  Private  ,"  Bangalore,Karnataka + 1 more  ",  8 years old  ,  51-200 Employees (India)  
722,  ClearDekho  ,  Private  ,"  Ghaziabad,Uttar Pradesh + 3 more  ",  6 years old  ,  201-500 Employees (India)  
723,  Oscar Medicare  ,  Private  ,"  New York City,New York + 7 more  ",  10 years old  ,  201-500 Employees (India)  
724,  Goodera  ,  Private  ,"  San Mateo,California + 2 more  ",  8 years old  ,  51-200 Employees (India)  
725,  Azuro  ,"  Mumbai,Maharashtra + 3 more  ",  7 years old  ,  201-500 Employees (India)  , nan 
726,  GoBumpr  ,  Private  ,"  Chennai,Tamil Nadu + 1 more  ",  7 years old  ,  51-200 Employees (Global)  
727,  AAIDEA SOLUTIONS  ,  Private  ,"  Gurgaon/Gurugram,Haryana + 3 more  ",  7 years old  ,  501-1k Employees (India)  
728,  Drink Prime  ,  Private  ,"  Bangalore,Karnataka + 1 more  ",  6 years old  ,  51-200 Employees (India)  
729,  RICS School of B...  ,  Noida + 3 more  ,  51-200 Employees (India)  , nan , nan 
730,  Twilio  ,  Public  ,"  San Francisco,California  ",  10 years old  ,  501-1k Employees (India)  
731,  Credgenics  ,"  Delhi,NCT  ",  4 years old  ,  51-200 Employees (India)  , nan 
732,  Bigo Service  ,  Private  ,"  Singapore,Singapore  ",  4 years old  , nan 
733,  Yulu Bikes  ,  Private  ,"  Bangalore/Bengaluru,Karnataka + 3 more  ",  5 years old  ,  201-500 Employees (India)  
734,  Ezyhaul  ,  Private  ,  Bengaluru/Bangalore + 4 more  ,  6 years old  ,  51-200 Employees (Global)  
735,  Newton School: P...  ,"  Bangalore,Karnataka + 1 more  ",  3 years old  ,  501-1k Employees (India)  , nan 
736,  Silverpush  ,  Private  ,"  Gurgaon,Haryana  ",  10 years old  ,  11-50 Employees (India)  
737,  mSupply  ,"  Bangalore,Karnataka + 4 more  ",  7 years old  ,  51-200 Employees (Global)  , nan 
738,  Healthsignz Tech...  ,  Private  ,"  Hyderabad,Telangana + 1 more  ",  8 years old  ,  51-200 Employees (India)  
739,  TrioTree Technol...  ,"  Delhi,NCT  ",  10 years old  ,  51-200 Employees (India)  , nan 
740,  SalaryBox  ,"  Delhi,NCT  ",  2 years old  , nan , nan 
741,  Infinity Learn  ,"  Hyderabad,Telangana  ",  1 years old  ,  201-500 Employees (India)  , nan 
742,  ChaiApps  ,  Private  ,"  New Delhi,Delhi  ",  5 years old  ,  51-200 Employees (India)  
743,  QPe India  ,"  Delhi,NCT  ",  1 years old  ,  11-50 Employees (India)  , nan 
744,  Magzter  ,  51-200 Employees (India)  , nan , nan , nan 
745,  Zwayam  ,  Private  ,"  Bangalore,Karnataka + 2 more  ",  7 years old  ,  51-200 Employees (Global)  
746,  LoanTap Financia...  ,  Private  ,"  Pune,Maharashtra  ",  6 years old  ,  51-200 Employees (India)  
747,  Wear Well India  ,  Private  ,  Delhi + 1 more  ,  51-200 Employees (India)  , nan 
748,  Foyr  ,  Private  ,"  Hyderabad,Telangana + 2 more  ",  8 years old  ,  11-50 Employees (India)  
749,  Zwayam  ,  Private  ,"  Bangalore,Karnataka + 2 more  ",  7 years old  ,  51-200 Employees (Global)  
750,  Detect Technolog...  ,  Private  ,"  Chennai,Tamil Nadu  ",  9 years old  ,  51-200 Employees (India)  
751,  Healthsignz Tech...  ,  Private  ,"  Hyderabad,Telangana + 1 more  ",  8 years old  ,  51-200 Employees (India)  
752,  Wear Well India  ,  Private  ,  Delhi + 1 more  ,  51-200 Employees (India)  , nan 
753,  LoanTap Financia...  ,  Private  ,"  Pune,Maharashtra  ",  6 years old  ,  51-200 Employees (India)  
754,  Rey Ecom Ops Pvt...  ,  Private  ,"  Alwar,Rajasthan + 1 more  ",  5 years old  ,  11-50 Employees (India)  
755,  Shipsy  ,"  Gurgaon,Haryana + 1 more  ",  7 years old  , nan , nan 
756,  Agri10x  ,"  Pune,Maharashtra  ",  3 years old  , nan , nan 
757,  RUBRIK INDIA  ,  Private  ,"  Palo Alto,California  ",  8 years old  ,  51-200 Employees (India)  
758,  Progcap  ,"  Delhi,NCT  ",  6 years old  ,  51-200 Employees (India)  , nan 
759,  CoolBoots Media  ,  Private  ,"  Gurgaon/Gurugram,Haryana  ",  6 years old  ,  51-200 Employees (India)  
760,  Smallcase Techno...  ,  Private  ,"  Bangalore,Karnataka  ",  7 years old  ,  51-200 Employees (India)  
761,  Lithion Power  ,  Private  ,"  Delhi,NCT  ",  6 years old  ,  51-200 Employees (India)  
762,  PayMe India  ,"  Noida,Uttar Pradesh  ",  6 years old  ,  11-50 Employees (India)  , nan 
763,  Symbo Insurance  ,"  Mumbai,Maharashtra + 2 more  ",  5 years old  ,  51-200 Employees (India)  , nan 
764,  INTENT TECHNOLOG...  , nan , nan , nan , nan 
765,  Hygiene Bigbite  ,"  Bangalore,Karnataka + 1 more  ",  6 years old  ,  11-50 Employees (India)  , nan 
766,  ApplyBoard  ,  Private  ,"  Kitchener,Ontario + 1 more  ",  7 years old  ,  501-1k Employees (Global)  
767,  PMI Electro Mobi...  ,"  Rewari,Haryana + 2 more  ",  7 years old  ,  501-1k Employees (India)  , nan 
768,  OneBanc Technolo...  ,  Private  ,"  Gurgaon,Haryana  ",  3 years old  ,  51-200 Employees (India)  
769,  SalaryBox  ,"  Delhi,NCT  ",  2 years old  , nan , nan 
770,  Infinity Learn  ,"  Hyderabad,Telangana  ",  1 years old  ,  201-500 Employees (India)  , nan 
771,  Kwh Motors  ,  Private  ,  1 years old  ,  11-50 Employees (India)  , nan 
772,  QPe India  ,"  Delhi,NCT  ",  1 years old  ,  11-50 Employees (India)  , nan 
773,  ChaiApps  ,  Private  ,"  New Delhi,Delhi  ",  5 years old  ,  51-200 Employees (India)  
774,  The Hans India  ,  Private  ,  HyderÄ\x81bÄ\x81d + 1 more  ,  51-200 Employees (India)  , nan 
775,  iManage  ,  Private  ,"  Chicago,Illinois  ",  7 years old  ,  501-1k Employees (Global)  
776,  Ace Turtle Servi...  ,  Private  ,"  Bangalore,Karnataka  ",  9 years old  ,  51-200 Employees (India)  
777,  Litmus World  ,  Private  ,"  Mumbai,Maharashtra + 1 more  ",  7 years old  ,  51-200 Employees (India)  
778,  InnerChef  ,"  Gurgaon,Haryana + 4 more  ",  7 years old  ,  11-50 Employees (India)  , nan 
779,  Magnum Honda  ,  Bengaluru/Bangalore + 1 more  , nan , nan , nan 
780,  LiveHealth  ,"  Pune,Maharashtra  ",  9 years old  ,  11-50 Employees (Global)  , nan 
781,  Ceridian  ,  Public  ,"  Minneapolis,Minnesota + 2 more  ",  10 years old  ,  201-500 Employees (India)  
782,  Orion Esolutions  ,  Private  ,"  Mohali,Punjab + 3 more  ",  10 years old  ,  51-200 Employees (India)  
783,  Browntape Techno...  ,  Private  ,"  Porvorim,Goa + 1 more  ",  10 years old  ,  51-200 Employees (India)  
784,  ParallelDots  ,  Private  ,"  Lewes,Delaware  ",  8 years old  ,  11-50 Employees (India)  
785,  Myrsa Technology...  ,  Private  ,"  Thane,Maharashtra  ",  6 years old  ,  11-50 Employees (India)  
786,  Medibox Digital ...  ,  Private  ,"  Bangalore/Bengaluru,Karnataka  ",  6 years old  ,  51-200 Employees (India)  
787,  Genext Students  ,  Private  ,"  Mumbai,Maharashtra  ",  11 years old  ,  11-50 Employees (India)  
788,  Easy Pay  ,  Private  ,"  Ahmedabad,Gujarat  ",  8 years old  ,  51-200 Employees (India)  
789,  CreditVidya  ,  Private  ,"  Hyderabad,Telangana + 1 more  ",  10 years old  ,  51-200 Employees (India)  
790,  HALODOC  ,  Private  ,"  Jakarta,Jakarta + 1 more  ",  6 years old  ,  51-200 Employees (Global)  
791,  Pitstop  ,  Private  ,"  Bangalore,Karnataka + 5 more  ",  7 years old  ,  51-200 Employees (India)  
792,  Gramstrong  ,  LLP  ,"  Bengaluru/Bangalore,Karnataka  ",  11-50 Employees (India)  , nan 
793,  Instamojo  ,  Private  ,"  Bangalore,Karnataka  ",  10 years old  ,  51-200 Employees (India)  
794,  EffiaSoft  ,  Private  ,"  Hyderabad,Telangana  ",  10 years old  ,  11-50 Employees (India)  
795,  Crofarm  ,"  Gurgaon,Haryana + 3 more  ",  6 years old  ,  11-50 Employees (India)  , nan 
796,  Unstop  ,  Private  ,"  Delhi NCR,Delhi  ",  6 years old  ,  51-200 Employees (India)  
797,  Encore Theme Tec...  ,  Chennai + 2 more  , nan , nan , nan 
798,  Carthero Technol...  ,  Private  ,"  Bangalore/Bengaluru,Karnataka + 6 more  ",  7 years old  ,  11-50 Employees (India)  
799,  MindHour  ,  Private  ,"  Kolkata,West Bengal  ",  8 years old  ,  11-50 Employees (Global)  
800,  SAATHII  ,"  Ahmedabad,Gujarat + 6 more  ",  6 years old  ,  11-50 Employees (India)  , nan 
801,  The Souled Store  ,"  Mumbai,Maharashtra  ",  9 years old  ,  51-200 Employees (India)  , nan 
802,  Onco  ,"  Bangalore,Karnataka + 2 more  ",  6 years old  ,  51-200 Employees (India)  , nan 
803,  SmartCoin Financ...  ,"  Bangalore,Karnataka  ",  7 years old  ,  11-50 Employees (India)  , nan 
804,  ePayLater  ,"  Mumbai,Maharashtra + 4 more  ",  7 years old  ,  51-200 Employees (India)  , nan 
805,  21K School  ,"  Bangalore,Karnataka + 1 more  ",  2 years old  ,  501-1k Employees (India)  , nan 
806,  CoinSwitch  ,"  Bangalore,Karnataka  ",  5 years old  ,  501-1k Employees (India)  , nan 
807,  LBB Little Black...  ,  Private  ,"  Delhi,NCT  ",  9 years old  ,  51-200 Employees (India)  
808,  Harappa Educatio...  ,  Private  ,"  Delhi/NCR,Delhi  ",  4 years old  ,  51-200 Employees (Global)  
809,  21K School  ,"  Bangalore,Karnataka + 1 more  ",  2 years old  ,  501-1k Employees (India)  , nan 
810,  Chalo  ,"  Mumbai,Maharashtra + 6 more  ",  8 years old  ,  201-500 Employees (India)  , nan 
811,  Harappa Educatio...  ,  Private  ,"  Delhi/NCR,Delhi  ",  4 years old  ,  51-200 Employees (Global)  
812,  Vigocare  ,"  Hyderabad,Telangana  ",  4 years old  ,  51-200 Employees (India)  , nan 
813,  Owo Technologies  ,  Private  ,"  Gurgaon,Haryana  ",  2 years old  ,  11-50 Employees (India)  
814,  Zupee  ,  Private  ,"  Gurgaon/Gurugram,Haryana  ",  4 years old  ,  201-500 Employees (India)  
815,  Tractor Junction  ,"  Alwar,Rajasthan  ",  6 years old  , nan , nan 
816,  Onco  ,"  Bangalore,Karnataka + 2 more  ",  6 years old  ,  51-200 Employees (India)  , nan 
817,  LBB Little Black...  ,  Private  ,"  Delhi,NCT  ",  9 years old  ,  51-200 Employees (India)  
818,  ACADGILD  ,  Private  ,"  Bangalore,Karnataka  ",  8 years old  ,  11-50 Employees (Global)  
819,  CreditMantri  ,  Private  ,"  Chennai,Tamil Nadu + 1 more  ",  10 years old  ,  51-200 Employees (India)  
820,  Culture Machine  ,"  Mumbai,Maharashtra + 2 more  ",  9 years old  ,  201-500 Employees (India)  , nan 
821,  Talent  ,"  Mumbai,Maharashtra + 6 more  ",  7 years old  ,  11-50 Employees (India)  , nan 
822,  C Centric Soluti...  ,  Bengaluru + 2 more  ,  51-200 Employees (India)  , nan , nan 
823,  Tax2win  ,"  Jaipur,Rajasthan  ",  7 years old  ,  51-200 Employees (India)  , nan 
824,  The Malt Company...  ,  Private  ,"  Paris,√éle-de-France  ",  9 years old  ,  501-1k Employees (India)  
825,  SigTuple  ,  Private  ,"  Bangalore,Karnataka  ",  7 years old  ,  51-200 Employees (India)  
826,  Presston Enginee...  ,  Bengaluru/Bangalore + 1 more  ,  11-50 Employees (India)  , nan , nan 
827,  Medwell Ventures  ,  Private  ,"  Bangalore,Karnataka + 3 more  ",  8 years old  ,  201-500 Employees (India)  
828,  YourDOST  ,"  Bangalore,Karnataka + 1 more  ",  8 years old  ,  11-50 Employees (India)  , nan 
829,  Teabox  ,  Private  ,"  Bangalore,Karnataka  ",  10 years old  ,  51-200 Employees (India)  
830,  Get my Parking  ,  Private  ,"  Ghaziabad,Uttar Pradesh + 2 more  ",  8 years old  ,  51-200 Employees (India)  
831,  K Mordani Realty  ,  Private  , nan , nan , nan 
832,  Edgistify  ,"  Mumbai,Maharashtra + 1 more  ",  5 years old  ,  11-50 Employees (India)  , nan 
833,  REDCARPET TECH  ,  Private  ,"  Gurgaon/Gurugram,Haryana  ",  6 years old  ,  11-50 Employees (Global)  
834,  Indian Institute...  ,  Manesar + 1 more  ,  51-200 Employees (India)  , nan , nan 
835,  Toffee Insurance  ,  Private  ,"  Gurgaon/Gurugram,Haryana  ",  5 years old  ,  11-50 Employees (India)  
836,  AlgonoX Technolo...  ,"  Hyderabad,Telangana + 2 more  ",  7 years old  ,  51-200 Employees (India)  , nan 
837,  Truelancer  ,"  Delhi,NCT + 1 more  ",  8 years old  ,  1 Lakh+ Employees (India)  , nan 
838,  Intangles Lab  ,"  Pune,Maharashtra + 1 more  ",  7 years old  ,  51-200 Employees (India)  , nan 
839,  Punta India  ,  Private  ,  Bhubaneswar + 2 more  ,  51-200 Employees (India)  , nan 
840,  myUpchar.com  ,"  Delhi,NCT  ",  6 years old  ,  11-50 Employees (Global)  , nan 
841,  RedSky Technolog...  ,"  Mumbai,Maharashtra + 4 more  ",  6 years old  , nan , nan 
842,  Vibtree Technolo...  ,  LLP  ,"  Kolkata,West Bengal  ",  3 years old  ,  11-50 Employees (India)  
843,  Tonguestun  ,"  Bangalore,Karnataka + 2 more  ",  10 years old  , nan , nan 
844,  Brilworks  ,  LLP  ,"  Ahmedabad,Gujarat  ",  3 years old  ,  51-200 Employees (India)  
845,  Zolve  ,"  Bangalore,Karnataka  ",  2 years old  ,  51-200 Employees (India)  , nan 
846,  Gigforce  ,"  Gurgaon,Haryana + 7 more  ",  2 years old  ,  11-50 Employees (India)  , nan 
847,  Flux Auto  ,"  Bangalore,Karnataka  ",  5 years old  , nan , nan 
848,  Rizzle  ,"  San Francisco,California  ",  3 years old  ,  51-200 Employees (India)  , nan 
849,  StalkBuyLove  ,  Private  ,"  Delhi,NCT  ",  10 years old  ,  501-1k Employees (India)  
850,  Tonetag  ,"  Bangalore,Karnataka  ",  8 years old  ,  51-200 Employees (India)  , nan 
851,  Gem Granites  ,"  Rancho Santa Margarita,California + 3 more  ",  5 years old  ,  51-200 Employees (India)  , nan 
852,  DigiCollect  ,  Bangalore  ,  9 years old  ,  11-50 Employees (India)  , nan 
853,  Samaaro  ,  Private  ,"  Bangalore,Karnataka  ",  2 years old  ,  11-50 Employees (India)  
854,  Zipgrid  ,  Private  ,"  Mumbai,Maharashtra  ",  9 years old  ,  11-50 Employees (India)  
855,  Breakbounce  ,"  Bangalore,Karnataka + 4 more  ",  10 years old  , nan , nan 
856,  SAHA Groupe  ,  Private  ,  Noida + 4 more  ,  51-200 Employees (Global)  , nan 
857,  PickYourTrail  ,  Private  ,"  Chennai,Tamil Nadu  ",  8 years old  ,  51-200 Employees (India)  
858,  Blubirch  ,"  Bangalore,Karnataka + 2 more  ",  8 years old  ,  51-200 Employees (India)  , nan 
859,  Spoyl  ,"  Hyderabad,Telangana + 2 more  ",  7 years old  ,  51-200 Employees (Global)  , nan 
860,  Simplify Wellnes...  ,"  Hyderabad,Telangana + 3 more  ",  8 years old  , nan , nan 
861,  Schooglink  ,  Private  ,"  Bangalore,Karnataka + 3 more  ",  6 years old  ,  51-200 Employees (India)  
862,  Colife Advisory  ,  Private  ,  Bangalore  ,  6 years old  , nan 
863,  Ela Woman  ,  Private  ,"  Delhi,NCT  ",  6 years old  ,  51-200 Employees (Global)  
864,  DentalKart  ,"  New Delhi,delhi + 1 more  ",  7 years old  , nan , nan 
865,  DocPrime Technol...  ,"  Gurgaon,Haryana  ",  4 years old  , nan , nan 
866,  Adonmo  ,  Private  ,"  Hyderabad,Telangana + 5 more  ",  6 years old  ,  11-50 Employees (India)  
867,  Natureland Organ...  ,"  Sri Ganganagar,Rajasthan + 4 more  ",  8 years old  ,  51-200 Employees (India)  , nan 
868,  Finance Buddha  ,"  Bangalore,Karnataka + 2 more  ",  10 years old  ,  51-200 Employees (Global)  , nan 
869,  Dukaan  ,"  Mumbai,Maharashtra  ",  2 years old  ,  51-200 Employees (India)  , nan 
870,  Vilcart  ,"  Bangalore,Karnataka + 1 more  ",  4 years old  ,  11-50 Employees (India)  , nan 
871,  SaffronStays  ,"  Mumbai,Maharashtra + 1 more  ",  8 years old  ,  51-200 Employees (India)  , nan 
872,  WOHLIG TRANSFORM...  ,  51-200 Employees (India)  , nan , nan , nan 
873,  Schooglink  ,  Private  ,"  Bangalore,Karnataka + 3 more  ",  6 years old  ,  51-200 Employees (India)  
874,  Adonmo  ,  Private  ,"  Hyderabad,Telangana + 5 more  ",  6 years old  ,  11-50 Employees (India)  
875,  Propelld  ,"  Bangalore,Karnataka + 4 more  ",  6 years old  ,  1-10 Employees (India)  , nan 
876,  Samaaro  ,  Private  ,"  Bangalore,Karnataka  ",  2 years old  ,  11-50 Employees (India)  
877,  Eupheus  ,"  Delhi,NCT + 1 more  ",  5 years old  ,  51-200 Employees (India)  , nan 
878,  Vivriti Capital  ,  Private  ,"  Chennai,Tamil Nadu  ",  5 years old  ,  51-200 Employees (India)  
879,  Rubique  ,  Private  ,"  Mumbai,Maharashtra + 3 more  ",  8 years old  ,  51-200 Employees (Global)  
880,  Rentickle  ,"  Delhi,NCT + 1 more  ",  7 years old  ,  51-200 Employees (India)  , nan 
881,  Sumeru Verde Tec...  ,  Private  ,"  Noida,Uttar Pradesh  ",  10 years old  ,  51-200 Employees (India)  
882,  Ziffity  ,  Private  ,"  Chennai,Tamil Nadu + 1 more  ",  8 years old  ,  11-50 Employees (India)  
883,  ZAPR Media Labs  ,"  Gurgaon,Haryana + 1 more  ",  10 years old  ,  51-200 Employees (India)  , nan 
884,  Josh Talks  ,  Private  ,"  Gurgaon,Haryana + 1 more  ",  7 years old  ,  51-200 Employees (India)  
885,  Invest India  ,"  New Delhi,nct + 1 more  ",  51-200 Employees (India)  , nan , nan 
886,  Eunimart  ,  Private  ,"  Hyderabad,Telangana  ",  6 years old  ,  51-200 Employees (India)  
887,  ProMobi Technolo...  ,  Private  ,"  Pune,Maharashtra  ",  9 years old  ,  51-200 Employees (India)  
888,  Mobileware Techn...  ,  Private  ,  Mumbai + 1 more  ,  51-200 Employees (India)  , nan 
889,  ESK India  ,"  Mumbai,Maharashtra + 1 more  ",  10 years old  , nan , nan 
890,  Transport Depart...  ,"  New Delhi,Delhi + 9 more  ",  10k-50k Employees (India)  , nan , nan 
891,  Vikalp  ,  Private  ,"  Delhi,NCT + 1 more  ",  7 years old  ,  11-50 Employees (India)  
892,  AgNext Technolog...  ,  Private  ,"  Mohali,Punjab + 2 more  ",  6 years old  ,  51-200 Employees (India)  
893,  Svakarma Financ...  ,  Mumbai + 5 more  ,  51-200 Employees (India)  , nan , nan 
894,  WIMWI Foods Pvt...  ,  Ahmedabad + 2 more  ,  11-50 Employees (India)  , nan , nan 
895,  VSPL Energy  ,  Roorkee + 6 more  ,  11-50 Employees (India)  , nan , nan 
896,  Smartivity  ,  Private  ,"  Delhi,NCT + 1 more  ",  7 years old  ,  51-200 Employees (Global)  
897,  Eduisfun  ,"  Mumbai,Maharashtra  ",  8 years old  ,  201-500 Employees (India)  , nan 
898,  ODeX India Solut...  ,  Private  ,"  Mumbai,Maharashtra  ",  7 years old  ,  51-200 Employees (India)  
899,  Fabfurnish  ,  Private  ,"  Gurgaon/Gurugram,Haryana + 1 more  ",  10 years old  ,  51-200 Employees (Global)  
900,  TAB Capital  ,"  Pune,Maharashtra + 1 more  ",  6 years old  ,  51-200 Employees (India)  , nan 
901,  Relinns Technolo...  ,  Private  ,"  Mohali,Punjab + 1 more  ",  7 years old  ,  51-200 Employees (India)  
902,  SHAPE INDIA  ,"  Pune,Maharashtra + 8 more  ",  7 years old  , nan , nan 
903,  Zippr  ,  Private  ,"  Hyderabad,Telangana  ",  9 years old  ,  11-50 Employees (Global)  
904,  TIGI HR Solution  ,  Private  ,"  Gandhinagar,Gujarat + 1 more  ",  6 years old  ,  51-200 Employees (India)  
905,  Euler Motors  ,  Private  ,"  Delhi,NCT + 1 more  ",  7 years old  ,  51-200 Employees (India)  
906,  5C Network  ,  Private  ,"  Bangalore,Karnataka  ",  8 years old  ,  51-200 Employees (India)  
907,  91Squarefeet  ,  Private  ,"  Gurgaon,Haryana + 2 more  ",  4 years old  ,  51-200 Employees (India)  
908,  Sabse Sasta Duka...  ,"  Kolkata,West Bengal  ",  4 years old  , nan , nan 
909,  Jupiter Money  ,  Private  ,  Mumbai + 3 more  ,  3 years old  ,  501-1k Employees (India)  
910,  Analytics Vidhya  ,  Private  ,"  Gurgaon,Haryana  ",  8 years old  ,  201-500 Employees (India)  
911,  CareerLabs  ,"  Bangalore,Karnataka  ",  3 years old  , nan , nan 
912,  Bitcs.in  ,  Partnership  ,"  Gurgaon/Gurugram,Haryana + 1 more  ",  51-200 Employees (India)  , nan 
913,  Breathe Well-bei...  ,  Private  ,"  Delhi,NCT  ",  7 years old  ,  11-50 Employees (India)  
914,  TeleCMI  ,  Private  ,"  Chennai,Tamil Nadu  ",  6 years old  ,  11-50 Employees (India)  
915,  The Wedding Brig...  ,  Private  ,"  Mumbai,Maharashtra + 2 more  ",  8 years old  ,  11-50 Employees (India)  
916,  Alcis Sports  ,"  Noida,Uttar Pradesh + 2 more  ",  7 years old  ,  51-200 Employees (India)  , nan 
917,  Loom Solar  ,  Faridabad  ,  51-200 Employees (India)  , nan , nan 
918,  QBrainX  ,  Private  ,  Troy Michigan  ,  4 years old  ,  201-500 Employees (India)  
919,  Biddano  ,"  Pune,Maharashtra  ",  6 years old  ,  51-200 Employees (India)  , nan 
920,  Scaling Theory  ,  Private  ,"  Tiruchirappalli,Tamil Nadu  ",  2 years old  ,  11-50 Employees (India)  
921,  Techspian Servic...  ,  Private  ,"  Pune,Maharashtra  ",  2 years old  ,  51-200 Employees (India)  
922,  Simple Energy  ,  Private  ,"  Bangalore,Karnataka  ",  3 years old  ,  201-500 Employees (India)  
923,  Paytm First Game...  ,"  Noida,Uttar Pradesh  ",  4 years old  , nan , nan 
924,  Rippling  ,"  San Francisco,California  ",  6 years old  , nan , nan 
925,  Credlawn India  ,  Private  ,"  Bhopal,Madhya Pradesh  ",  1 years old  ,  51-200 Employees (India)  
926,  CrowdANALYTIX  ,  Private  ,"  Bangalore,Karnataka  ",  10 years old  ,  51-200 Employees (India)  
927,  Gonoise.com  ,"  Gurgaon,haryana  ", nan , nan , nan 
928,  Little Internet  ,"  Bangalore,Karnataka + 2 more  ",  7 years old  ,  501-1k Employees (India)  , nan 
929,  Clonect Solution...  ,  Private  ,"  Bangalore,Karnataka  ",  8 years old  ,  11-50 Employees (India)  
930,  Gonoise.com  ,"  Gurgaon,haryana  ", nan , nan , nan 
931,  Little Internet  ,"  Bangalore,Karnataka + 2 more  ",  7 years old  ,  501-1k Employees (India)  , nan 
932,  91Streets Media ...  ,  Private  ,  Mumbai + 1 more  ,  8 years old  ,  11-50 Employees (Global)  
933,  Pharoscion Globa...  ,  Sole Proprietorship  ,"  Pune,Maharashtra  ",  4 years old  ,  11-50 Employees (India)  
934,  Fable Fintech  ,"  Mumbai,Maharashtra + 1 more  ",  1 years old  , nan , nan 
935,  Shoptimize  ,  Private  ,"  Pune,Maharashtra  ",  10 years old  ,  51-200 Employees (India)  
936,  Aglowid IT Solut...  ,  Private  ,"  Melbourne,Victoria  ",  9 years old  , nan 
937,  Proedge  ,  Private  ,"  Bangalore,Karnataka + 3 more  ",  8 years old  ,  11-50 Employees (Global)  
938,  MediaLabs  ,  Private  ,  Bengaluru + 1 more  ,  8 years old  ,  51-200 Employees (India)  
939,  Studio11  Salon ...  ,  Bengaluru/Bangalore + 7 more  ,  1-10 Employees (India)  , nan , nan 
940,  ReadyAssist  ,"  Bangalore,Karnataka + 1 more  ",  6 years old  ,  11-50 Employees (Global)  , nan 
941,  Urja Products  ,"  Delhi,NCT  ",  5 years old  ,  51-200 Employees (India)  , nan 
942,  Propstack Servic...  ,  Private  ,"  Mumbai,Maharashtra + 2 more  ",  9 years old  ,  51-200 Employees (India)  
943,  TheIncircle  ,  LLP  ,  New Delhi  ,  6 years old  ,  11-50 Employees (India)  
944,  Turvo  ,  Private  ,"  San Mateo,California  ",  8 years old  ,  201-500 Employees (India)  
