,company_name_final,company_type_final,company_headquarter_location_final,company_age_final,Number_of_Employees_final
3954,  MineWhat  ,  Private  ,  Bangalore  ,  10 years old  , nan 
3955,  Zoffio  ,  Private  ,"  Bangalore,Karnataka  ",  9 years old  , nan 
3956,  Kaybus  ,  Private  ,  San  ,  9 years old  ,  51-200 Employees (Global)  
3957,  Mean Metal Motor...  ,"  Manipal,  ",  8 years old  , nan , nan 
3958,  Jobspire  ,"  Bangalore,Karnataka  ",  8 years old  , nan , nan 
3959,  HealthMir  ,"  Delhi,NCT  ",  7 years old  , nan , nan 
3960,  Betterwealth Adv...  ,"  Jaipur,Rajasthan  ",  7 years old  , nan , nan 
3961,  Safecity  ,"  Bombay,maharashtra  ", nan , nan , nan 
3962,  HeroTalkies  ,  Private  ,"  Chennai,Tamil Nadu  ",  10 years old  ,  11-50 Employees (Global)  
3963,  Cyanogen  ,"  Palo Alto,California  ",  9 years old  , nan , nan 
3964,  Primaseller  ,"  Bangalore,Karnataka  ",  9 years old  , nan , nan 
3965,  Jobma  ,  Minneapolis  ,  10 years old  , nan , nan 
3966,  Flatchat  ,  Private  ,"  Bangalore,Karnataka  ",  9 years old  , nan 
3967,  Spoonjoy  ,  Private  ,"  Bangalore,Karnataka  ",  8 years old  ,  51-200 Employees (Global)  
3968,  Pykih Data Visua...  ,  Private  ,  Mumbai  ,  9 years old  ,  11-50 Employees (Global)  
3969,  Cyahi  ,  Ahmedabad  ,  5 years old  , nan , nan 
3970,  Kabuni  ,"  Vancouver,British Columbia  ",  7 years old  , nan , nan 
3971,  Zimply  ,  Private  ,"  Delhi,NCT  ",  7 years old  ,  11-50 Employees (Global)  
3972,  StayGlad  ,"  Bangalore,Karnataka  ",  7 years old  , nan , nan 
3973,  Myrefers  ,"  Mumbai,Maharashtra  ",  10 years old  , nan , nan 
3974,  Synack  ,"  San Francisco,California  ",  9 years old  , nan , nan 
3975,  Greymeter  ,  Private  ,"  Noida,Uttar Pradesh  ",  9 years old  , nan 
3976,  Hippo  ,"  Palo Alto,California  ",  7 years old  , nan , nan 
3977,  HealthEminds  ,  Private  ,"  Bangalore,Karnataka  ",  10 years old  , nan 
3978,  FixNix  ,  Private  ,"  Chennai,Tamil Nadu  ",  10 years old  , nan 
3979,  Handy  ,"  New York City,New York  ",  10 years old  , nan , nan 
3980,  Hotelsoft  ,"  Bangalore,Karnataka  ",  8 years old  , nan , nan 
3981,  Twyst  ,  Private  ,"  Gurgaon,Haryana  ",  9 years old  ,  11-50 Employees (Global)  
3982,  Simility  ,  Private  ,"  Palo Alto,California  ",  8 years old  , nan 
3983,  Perfios Software  ,  Private  ,  Bangalore  ,  11-50 Employees (Global)  , nan 
3984,  Tele Rickshaw  ,  Private  ,"  Indore,Madhya Pradesh  ",  9 years old  , nan 
3985,  Capital Mind  ,  Private  ,"  Bangalore,Karnataka  ",  9 years old  , nan 
3986,  Koove  ,  Private  ,"  Bhubaneswar,Odisha  ",  8 years old  ,  11-50 Employees (Global)  
3987,  MockBank  ,  Private  ,"  Bangalore,Karnataka  ",  9 years old  , nan 
3988,  Dazo  ,  Private  ,"  Bangalore,Karnataka  ",  8 years old  ,  11-50 Employees (Global)  
3989,  Yumist  ,"  Gurgaon,Haryana  ",  8 years old  , nan , nan 
